"date","AAPL","SPY","QQQ","XLK"
2023-09-05,0.00126589554611645,-0.00433142145430043,0.00127060032344417,0.00356896881755731
2023-09-06,-0.036449715369697,-0.00674506981951506,-0.00884708826810332,-0.0106313855190159
2023-09-07,-0.029685500182115,-0.00307481167784118,-0.00717722305472446,-0.0145658656872545
2023-09-08,0.00348568675273064,0.00150477960195516,0.0013967362115288,0.00208544424663337
2023-09-11,0.00660064006273942,0.00655511508173223,0.0117137568918588,0.00519520004886953
2023-09-12,-0.0172078676800558,-0.00550067172943258,-0.0111502941481199,-0.0183023406486074
2023-09-13,-0.0119254062569665,0.00116528784633907,0.00380170906925859,0.00251836276903727
2023-09-14,0.00874415899995018,0.00858537599784714,0.00814411264564097,0.00722664067618517
2023-09-15,-0.00416270350596459,-0.0121212738976633,-0.0172711761410147,-0.0194078571246754
2023-09-18,0.0167718046368828,0.000586046501917181,0.00104164522729722,0.00479458498483343
2023-09-19,0.00616200246242471,-0.00207583966561664,-0.0021334149337342,-0.000531689621379172
2023-09-20,-0.0201948165184449,-0.00923599766294458,-0.014515419678391,-0.0158403306677108
2023-09-21,-0.00892906504957747,-0.0166664060317947,-0.0184944150232447,-0.0153636287353738
2023-09-22,0.00493217006891999,-0.00225110654161043,0.000139916368359749,0.00213132389904214
2023-09-25,0.0073531606611672,0.00419639259375693,0.00473830335224079,0.00321853069466993
2023-09-26,-0.0236765322899268,-0.0148003120808005,-0.0151299501460196,-0.0181707934313424
2023-09-27,-0.00893723547275016,0.000399123504601917,0.00234029207577002,0.00154222616415556
2023-09-28,0.00152448335444877,0.0057806573502166,0.0083305225018675,0.00706399362592869
2023-09-29,0.00304174123958667,-0.00242989325614573,0.000725921734924029,0.00342213991020923
2023-10-02,0.014726604968855,-0.000397788108411845,0.00831117258458036,0.0106791879370913
2023-10-03,-0.007800130681205,-0.0134763493643444,-0.0177055527627124,-0.0171048008628407
2023-10-04,0.00728205806885196,0.00725552648218031,0.0135168013614795,0.0123860158298035
2023-10-05,0.00717229654168694,-0.000376783536965242,-0.00295080397039005,0.00133305795935446
2023-10-06,0.0146425781068142,0.0118027747002012,0.0166166589118681,0.0185398057018329
2023-10-09,0.00841565449305204,0.00638186426630494,0.00508693071180044,0.00515828925332951
2023-10-10,-0.00335778513718754,0.00519134106087726,0.00552285427302479,0.00153667234322974
2023-10-11,0.00787307458955944,0.0040878175661696,0.00711000498111858,0.00922783939531069
2023-10-12,0.00504842113613435,-0.00611504464004664,-0.00348095895535661,0.000935675174837947
2023-10-13,-0.0103462176337654,-0.00499324818142632,-0.012649688728283,-0.0144242312658927
2023-10-16,-0.000727131463076347,0.0104663848666871,0.0112429605085316,0.00956111890298228
2023-10-17,-0.008823463441753,-4.59697605199594e-05,-0.00328093132160667,-0.00465130960762039
2023-10-18,-0.00742229728924126,-0.0134145227619946,-0.013204795154687,-0.0103210871559885
2023-10-19,-0.00216327494710278,-0.00882520562735234,-0.0094007533305378,-0.00574009981425849
2023-10-20,-0.0148136031810653,-0.0123641739415259,-0.0150304085548614,-0.0170553114676553
2023-10-23,0.000694027745416825,-0.00173473332107932,0.00301312050167102,0.00115851762862551
2023-10-24,0.00254003116389256,0.00751111296664231,0.00968102637521984,0.00686113065675897
2023-10-25,-0.0135835571460721,-0.0144560297477945,-0.0247802768640524,-0.0118697295691188
2023-10-26,-0.0249132053557837,-0.0120470391597252,-0.0192513806121823,-0.0192896773967028
2023-10-27,0.00793785095936794,-0.0045430423508277,0.00478992321088167,0.00578899091645191
2023-10-30,0.012230109403494,0.0118848145072921,0.0112022236891534,0.0106800946367791
2023-10-31,0.00281489214674213,0.0062606053214358,0.00477057868006625,0.00709765157923758
2023-11-01,0.0185650120015071,0.0106083020726198,0.0172081755511098,0.0191436006014918
2023-11-02,0.0204820973720645,0.0189830182501485,0.0179905082612963,0.0167862651618016
2023-11-03,-0.00519465221625381,0.00908208699852775,0.0116802570392593,0.0102410025782209
2023-11-06,0.0144995657439972,0.00229784796184429,0.00407105249695672,0.00655742950506966
2023-11-07,0.0143474484081416,0.0028419312588106,0.00940834642964283,0.0108725706410979
2023-11-08,0.00586762889586723,0.000732143650713724,0.00064377983556696,0.00564824143995057
2023-11-09,-0.00262802137940987,-0.00782925372632981,-0.00772545025372295,-0.00467631552520942
2023-11-10,0.0229547298392321,0.0154842851401771,0.0222333960000451,0.0257864869341571
2023-11-13,-0.00862077425033903,-0.000953635575579703,-0.0031235371004108,-0.00586595558589753
2023-11-14,0.0141845419991053,0.0192149048807444,0.0212980046074227,0.0198056867492875
2023-11-15,0.0030363931135593,0.0021148481890938,0.000752385989378546,0.00126273925264009
2023-11-16,0.00900149600455613,0.00122241475323204,0.000855378385075767,0.00498013255720764
2023-11-17,-0.000105597940701863,0.00124290973712604,0.000233347925665761,-0.00207660157466449
2023-11-20,0.00923567316325169,0.00766822013503798,0.0121010875577969,0.0143927791958856
2023-11-21,-0.00423994417965012,-0.00218180260494094,-0.00582621681053119,-0.00812140747555379
